"Partagás Maduro No. 1Aug 01, 2023",91,"5 1/8""",52,Medium-Full,Robusto,"A dark robusto with a slightly jagged head. It draws and burns well, imparting a streak of orange peel, hazelnut and salty leather on the palate. A big note of cocoa powder builds to the spicy, leathery finish."
"H. Upmann Half CoronaAug 01, 2023",90,"3 1/2""",44,Medium-Full,Odd,"A short corona that burns slowly and draws well, loading the palate with lots of cedary, fruity notes as well as a hint of cinnamon and a peppery finish."
"Montecristo Media CoronaAug 01, 2023",90,"3 1/2""",44,Medium,Odd,"While the draw is a bit airy, this short corona burns evenly. Its core of fruit, spice and wood is accented by notes of cocoa powder and earth."
"Quai d'Orsay No. 50Aug 01, 2023",89,"4 3/8""",50,Medium-Full,Odd,"Slightly flattened with a soft, spongy head. The draw is decent, bringing notes of Middle Eastern spices, mixed nuts and black pepper before a sweet finish that hints of caramel and gingerbread."
"Hoyo de Monterrey Epicure No. 1Aug 01, 2023",89,"5 5/8""",46,Medium,Toro,"Woody in character overall, this toro draws and burns evenly. It picks up a big almond note, along with a slight tanginess and a toasty, woody finish."
"H. Upmann Connossieur AAug 01, 2023",88,"5 1/2""",52,Medium,Toro,"The draw of this light brown cigar is a bit thin, but still imparts a smoke that begins floral and tea-like before showing some tangy cedar and a bit of dried fruit. The burn is fairly even throughout."
"Partagás Serie D No. 5Aug 01, 2023",88,"4 3/8""",50,Medium,Odd,"A tangy, cedary short robusto with an earthy midpalate and sweet note of baked apples and cinnamon. The tanginess intensifies on the finish. It burns evenly, though the draw is a bit firm."
"Trinidad TopesAug 01, 2023",87,"4 7/8""",56,Mild-Medium,Robusto,"Veiny and a bit wrinkled, this pigtailed robusto smokes evenly. It’s a primarily herbal, woody smoke that leaves a slightly burnt aftertaste."
"Ramon Allones Allones No. 3Jul 25, 2023",91,"5 1/2""",52,Medium,Toro,"The superb draw and even burn of this tawny toro forms a gray ash. Its sweet smoke calls to mind dulce de leche, with rich notes of walnut, toasted almond, leather and cinnamon."
"Rafael Gonzalez Corona De LonsdaleJun 20, 2023",93,"5""",48,Medium-Full,Robusto,"Made with a flat head and triple-seam cap, this robusto is draped in an oily wrapper the color of milk chocolate. A spicy core of leather and cedar take on some heady notes of coffee bean, earth and cinnamon. It draws well with a mostly even burn. Rich and balanced. This cigar retails for 10.50 euros in Portugal."
"Juan Lopez Adon Exclusivo LíbanoJun 06, 2023",91,"5 1/8""",55,Medium,Robusto,"Draped in a reddish cover leaf, this flat-headed robusto burns slow and cool with slight resistance on the draw. The smoke leans sweet showing notes of star anise, toasted almond, a bit of caramel and floral impressions that intermingle with an underlying earthiness. The finish is slightly dry. This cigar retails for $27.50 in Lebanon."
"Cohiba Pirámides ExtraJun 01, 2023",94,"6 1/4""",54,Medium-Full,Figurado,"This pirámide needs no time to warm up, as big notes of roasted chestnut and cinnamon immediately engulf the palate before unfolding layers of almond paste, black pepper and oak. A touch of spice brings it all together on the finish."
"Hoyo de Monterrey Epicure No. 2Jun 01, 2023",93,"4 7/8""",50,Medium,Robusto,"There’s a delightful nut-and-honey sweetness to this smoke, which burns evenly but has a slightly firm draw. A spicy hint of ground nutmeg really livens things up before the warm, toasty finish."
"Montecristo Petit No. 2Jun 01, 2023",93,"4 3/4""",52,Medium-Full,Figurado,"A short belicoso with a lush draw that delivers a salty, leathery smoke balanced by an almond note and dark chocolate finish. Combustion is even throughout the duration of the smoke."
"Ramon Allones GigantesJun 01, 2023",92,"7 5/8""",49,Medium,Double Corona,"Long and softly box-pressed, this double corona shows a wheaty quality that picks up more pronounced notes of vanilla and almond. The draw is a bit firm, but the combustion is even and slow."
"Cuaba DistinguidosJun 01, 2023",92,"6 5/8""",52,Medium,Figurado,"Sweet and floral at first, this double-tapered figurado picks up a bold nuttiness with notes of vanilla, cinnamon and leather, all of which resonate on the finish. The cigar draws and burns evenly the entire time."
"Juan Lopez Selección EspecialJun 01, 2023",92,"6 3/4""",52,Medium-Full,Churchill,"This large cigar begins with notes of almond, chocolate and nougat. Sweetness intensifies showing a bready, brioche note, hint of honey and layers of apple and spices that make for an apple pie finish."
"Quai d'Orsay No. 52Jun 01, 2023",92,"6 1/8""",52,Medium,Toro,"This toro has a dead-even burn. Salty, woody first puffs develop sweeter, chewier notes of nougat, dried fig and raisin with a touch of chocolate ganache emerging before the toasty finish. Sweet and elegant. This cigar retails for 19.10 euros in France."
"Romeo y Julieta Línea de Oro DianasJun 01, 2023",90,"5 3/4""",52,Medium-Full,Toro,"Though the draw is a bit firm, this cigar burns slow and cool. Initial puffs are floral, but develop a nutty, leathery quality with sweet hints of maple and brown sugar before a cedary finish."
"Vegas Robaina FamosoJun 01, 2023",90,"5""",48,Medium,Robusto,"Copious amounts of smoke pour out of this robusto, which produces a dark, gray ash. Each puff blossoms with notes of almond, orange peel and toffee. A tasty cigar."
"Punch Double CoronaJun 01, 2023",89,"7 5/8""",49,Medium,Double Corona,"While the burn is even, the head of this long double corona is soft and spongy, making the draw a bit difficult. It’s woody with hints of black tea, mint and nuts. There’s a touch of dried fruit on the dry finish."
"Juan Lopez Selección No. 2Jun 01, 2023",88,"4 7/8""",50,Mild-Medium,Robusto,Toasty and sweet with touches of spice and slight acidity. This reddish-brown robusto is made with a flat head and smokes evenly.
"Montecristo Double EdmundoJun 01, 2023",86,"6 1/4""",50,Medium,Toro,"Made with a slightly spongy head, this cigar has an insubstantial draw. It’s grassy and herbal with some black tea and woody notes as well as a finish of dark toast."
"Cohiba Siglo IVMay 16, 2023",91,"5 5/8""",46,Medium,Toro,"Topped with a triple-seam cap, this reddish-brown corona gorda burns quite evenly. It produces a creamy smoke that layers the palate with sweet tones of salted caramel, nougat, honeyed nuts and dried cherry, culminating in a sweet finish. There is slight resistance to the draw."
"Juan Lopez Gran Patagón Exclusivo Cono SurApr 04, 2023",94,"5 3/8""",52,Medium,Odd,"Well-made with a triple-seam cap and attractive colorado cover leaf, this toro layers the palate with intonations of dried fig, coffee, graham cracker and white pepper, all before a sweet buttercream finish. The draw is consistently open while the burn is fairly even. This cigar retails for 35,000 pesos in Chile."
"Bolivar Royal Corona (Tubo)Apr 01, 2023",94,"4 7/8""",50,Medium-Full,Robusto,"A bold and earthy smoke accented by notes of cedar, vanilla and flint, all underscored by a resounding toastiness. The draw and burn remain even throughout.
"
"Romeo y Julieta Short ChurchillApr 01, 2023",93,"4 7/8""",50,Medium,Robusto,"Though a bit veiny, this otherwise attractive robusto burns evenly with a slightly firm draw. Floral at first, the smoke warms to show toasted almond notes, hints of cashew and a milk chocolate finish."
"Cohiba Siglo IIApr 01, 2023",92,"5 1/8""",42,Medium-Full,Petit Corona,"An undercurrent of ground pepper adds some piquancy to this petit corona, which draws well but has a slightly uneven burn. Notes of leather and orange peel gain intensity as the cigar progresses."
"Montecristo Wide EdmundoApr 01, 2023",92,"4 7/8""",54,Medium,Robusto,"A reddish-brown robusto with a flat head and slightly firm draw. Initial floral and earthy notes develop coffee, leather, spice and toasty intonations before a salted peanut finish. This cigar sells for 22 euros in Spain."
"Ramon Allones Small Club CoronaApr 01, 2023",91,"4 3/8""",42,Medium-Full,Petit Corona,"Earthy and leathery at its core, this petit corona has a bit of a firm draw, but still imparts plenty of nuttiness, especially on the marzipan finish. A tasty little smoke."
"La Gloria Cubana GloriasApr 01, 2023",91,"6 1/8""",49,Medium,Toro,"An attractive toro topped with a triple-seam cap and a light, colorado claro wrapper. It burns evenly with an open draw that offers a sweet assortment of maple, graham cracker, vanilla and honey notes buttressed by a heady foundation of hardwood and a nutty, cashew finish."
"Punch Petit CoronationApr 01, 2023",91,"4 5/8""",40,Medium-Full,Petit Corona,"The smoke of this toothy petit corona is dense and concentrated with a clear cinnamon and graham cracker character that creates an interesting contrast to notes of red pepper, coffee, dried date and the stony, mineral finish."
"Diplomaticos No. 2Apr 01, 2023",90,"6 1/8""",52,Mild-Medium,Figurado,"The wrapper of this well-rolled pirámide is the color of mocha. It draws and burns evenly, showing subtle notes of honey, orange marmalade and cedar. A graham cracker note precedes the mineral finish.
"
"Trinidad Media LunaApr 01, 2023",90,"4 1/2""",50,Medium-Full,Robusto,"The head of this pigtailed robusto is a bit soft and spongy, but the cigar draws and burns evenly. Initial puffs of orange flower water and honey take on bigger notes of leather and coffee bean."
"Bolivar Coronas JuniorApr 01, 2023",90,"4 3/8""",42,Medium-Full,Petit Corona,"Pressed and petit, this little cigar has an ample draw that loads the palate with big notes of cedar and oak complemented by touches of walnut, dried apricot and stone before an oaky, white-wine finish."
"Hoyo de Monterrey Le Hoyo de Río Seco (Tubo)Apr 01, 2023",89,"5 1/2""",56,Medium,Toro,"An over-packed head results in a notably firm draw, though the burn is even. It’s sweet and spicy with notes of raisin, molasses, cinnamon and ground ginger."
"Partagás Serie E No. 2 (Tubo)Apr 01, 2023",88,"5 1/2""",54,Medium,Toro,"Tan and veiny with a slightly uneven burn but open draw. It starts a bit gritty and earthy before showing some cedary, floral notes and a touch of oak before 
the sweet finish."
"Quai d’Orsay No. 52Mar 21, 2023",92,"6 1/8""",52,Medium,Toro,"Well-made with a richly colored cover leaf and triple-seam cap, this toro has a dead-even burn. Salty and woody first puffs develop sweeter, chewier notes of nougat, dried fig and raisin with a touch of chocolate ganache emerging before the toasty finish. Sweet and elegant. This cigar retails for 19.10 euros in France."
"H. Upmann Magnum 54Feb 21, 2023",94,"4 3/4""",54,Medium-Full,Robusto,"Made with a toothy wrapper and triple-seam cap, this robusto draws well with a razor-sharp burn. First puffs are bold, layering the palate with an oaky nuttiness accented by notes of orange peel, graham cracker, leather and espresso before a finish that smacks of clover honey."
"H. Upmann Magnum 56Feb 21, 2023",91,"5 7/8""",56,Medium,Toro,"A large, attractive toro with a round head. The draw is a bit firm at first but it opens up to show notes of nuts and herbs before turning malty and woody with an undercurrent of chocolate and hazelnut. The finish has a subtle note of honey."
"H. Upmann Magnum 46Feb 21, 2023",90,"5 5/8""",46,Medium-Full,Toro,"The draw is a bit firm, but still imparts toasty notes of walnut and vanilla wrapped around a solid core of dried fruit and wood. It burns evenly at a slow, cool rate."
"H. Upmann Magnum 50Feb 21, 2023",89,"6 3/8""",50,Medium-Full,Toro,"Solidly rolled with a triple cap and flat head. A tart, berry-like quality meets a brown sugar sweetness which combines with molasses notes for a holiday fruitcake effect before the boozy, rum-barrel finish.The combustion is slow and cool, while the draw remains even."
"Montecristo Wide EdmundoFeb 07, 2023",92,"4 7/8""",54,Medium,Robusto,"A reddish-brown robusto with a flat head and slightly firm draw. Initial floral and earthy notes develop coffee, leather, spice and toasty intonations before a salted peanut finish. This cigar retails for 22 euros in Spain."
"Partagás Serie D No. 4Feb 01, 2023",94,"4 7/8""",50,Medium-Full,Robusto,"Spicy and tangy with a burst of horseradish, this robusto becomes a warmer, nuttier smoke revealing bold, engaging accents of leather and wood before a baked-apple finish."
"Montecristo No. 2Feb 01, 2023",94,"6 1/8""",52,Medium,Figurado,"Three precise intonations of almond, orange peel and dark honey blossom in elegant unison. The nuttiness intensifies, developing a slightly spicy, baked apple note for a complex finish that evokes a fine Sauternes."
"Cohiba Siglo VIFeb 01, 2023",92,"5 7/8""",52,Medium-Full,Toro,"A tawny-hued toro with an excellent draw and even burn. Initial grassiness dissipates for a warmer, toasty smoke of cinnamon, nutmeg, licorice and baking spices with a woody undertone."
"Trinidad ColonialesFeb 01, 2023",92,"5 1/4""",44,Medium,Corona,"Covered in an attractive colorado wrapper and topped with a pigtail, this cigar has a slightly firm draw. Toasty, floral notes transition to hints of chocolate, spice and a very well-pronounced note of candied pecan."
"H. Upmann Sir WinstonFeb 01, 2023",92,"7""",47,Medium,Churchill,"Topped with a triple-seam cap, this Churchill starts floral with a sweet tea character, gradually becoming nutty and oaky with a dried cherry note and resonant honey-like finish. The burn is even though the draw is a bit thin."
"Trinidad FundadoresFeb 01, 2023",91,"7 1/2""",40,Medium,Panetela,"Nutty first puffs of pecan, walnut and almond are resonant here, along with notes of cocoa powder, moka and baking spice. A boozy burst of rum emerges on the finish of this panetela, which draws and burns evenly."
"Por Larrañaga GalanesFeb 01, 2023",91,"4 3/4""",52,Medium,Robusto,"Almond and leather notes play off each other nicely before additional notes of cedar, cashew and vanilla build to an interesting habanero-honey finish. The draw is open and the burn remains even."
"San Cristobal de la Habana La Cabaña Exclusivo CubaFeb 01, 2023",90,"6 1/8""",50,Medium,Toro,"The draw of this toro is firm, but the burn is even. Floral and tea-like at first, the cigar picks up heavier notes of leather, caramel, nuts and spice. Tasty, but the draw affected the score."
"Partagás De Luxe (Tubo)Feb 01, 2023",90,"5 1/2""",40,Medium,Corona,"With an even burn and draw, this corona imparts a very leathery smoke with secondary notes of cinnamon, ginger and clove.  A chocolate note segues into the cedary finish."
"Quai d'Orsay Corona ClaroFeb 01, 2023",89,"5 1/2""",42,Medium,Corona,"Though combustion is even, the draw is a bit firm but still imparts an early earthiness before opening up to show notes of cocoa, nuts, leather and dried herbs."
"Hoyo de Monterrey Epicure EspecialFeb 01, 2023",87,"5 1/2""",50,Mild-Medium,Toro,"Mild and woody overall with faint nuttiness, a floral note and a dried herb finish. The draw was a bit firm, the burn, even."
"Bolivar Belicoso FinoFeb 01, 2023",87,"5 1/2""",52,Medium,Figurado,"Tangy and cedary up front, this belicoso has a notably firm draw. Some sweet spices and herbal notes also surface, but this is a primarily tangy, woody smoke."
"La Gloria Cubana GloriasJan 24, 2023",91,"6 1/8""",49,Medium,Toro,"An attractive toro topped with a triple-seam cap and a light, colorado claro wrapper. It burns evenly with an open draw that offers a sweet assortment of maple, graham cracker, vanilla and honey notes buttressed by a heady foundation of hardwood and a nutty, cashew finish."
"H. Upmann No. 2Jan 01, 2023",98,"6 1/8""",52,Medium,Figurado,"It might be one of the best-kept secrets in the Cuban cigar world, as the typical Cuban cigar smoker tends to overlook the H. Upmann No. 2 for its more popular counterpart, the Montecristo No. 2. Because the two cigars are rolled in the same pirámide format, comparisons are going to be inevitable. Both share the exact same dimensions, but they don’t have nearly the same star power. Some smokers tend to come around to Upmann after going through the more common Cuban standards, so it wouldn’t be an exaggeration to call the H. Upmann No. 2 an insider’s cigar. Nor would it be the first time that this cigar has made it to our Top 25 list, as we’ve often recognized it as a smoke of complexity, nuance and character. This year, we found the H. Upmann No. 2 to be the most exceptional cigar of 2022. 

Like many Cuban cigar brands that are still on the market today, H. Upmann has a long history that spans more than 178 years and has managed to thrive despite changes in ownership, bankruptcy and a political revolution that resulted in H. Upmann becoming property of the state. To say it’s a survivor would be putting it mildly. The brand is an understated icon. 

H. Upmann was started in 1844 by German banker and financier Hermann Upmann, who had owned and operated a branch in Havana and manufactured cigars as well. His bank eventually went insolvent and H. Upmann was acquired by British distribution company J. Frankau & Co. In 1937, the brand ended up with Menendez y Garcia, the same company that produced Montecristos. The enormous success of Montecristo is what allowed Menendez y Garcia to keep the H. Upmann brand alive. When Fidel Castro nationalized the cigar industry in 1960, H. Upmann became property of the state and has been owned by the government ever since. 

Made in Havana, the H. Upmann No. 2 is sometimes misunderstood and dismissed as being too mild. It may not have been blended for strength, but smoking this cigar is a fully engaging experience with a room-filling aroma and mouth-filling texture that allows one to luxuriate in its layers of nutmeg, cinnamon and salted peanut flavor, all of which intensify, while, at the same time, showing a delicate floral quality that adds superb balance in a way that no other cigar this year could."
"Hoyo de Monterrey ElegantesJan 01, 2023",95,"6 1/4""",47,Medium,Figurado,
"Cohiba 55 Aniversario Edición Limitada 2021Jan 01, 2023",95,"5 7/8""",57,Medium-Full,Toro,"If there was one cigar that stole the headlines this past year, it’s this one. The Cohiba 55 Aniversario Edición Limitada 2021 got the world’s attention not just because it’s a Cohiba, and not because it celebrates the brand’s 55th anniversary. It turned heads because of the exorbitant price tag—$300 per cigar. The Cohiba came a bit late and wasn’t released until 2022, first in Lebanon and Cyprus and then later in Havana with lavish launch parties. It wasn’t all hype, however, as this turned out to be the tastiest Cohiba we smoked all year. The cigar scored well, and would have appeared higher on the list had it not been for its restrictive price and limited availability."
"Romeo y Julieta Línea de Oro NoblesJan 01, 2023",93,"5 3/8""",56,Medium-Full,Figurado,"Like the Cuban Montecristo Línea 1935 or the Cohiba Behike before that, the Romeo y Julieta Línea de Oro is meant to be a super-premium, Gran Cru version of an already premium brand. In this case, the tobaccos in the Línea de Oro are stronger than those found in the core Romeo y Julieta line. The sizes are new, and the prices certainly reflect the super-premium category. To emphasize the brand’s exclusivity, the boxes are quite opulent, made of glossy red sycamore with an embossed medallion. This line comes in only three sizes but the star was Nobles, a fat belicoso full of dried fruit flavor that gradually intensifies to a strong, oaky and leathery finish."
"Cohiba 55 Aniversario Edición Limitada 2021Dec 01, 2022",93,"5 7/8""",57,Medium-Full,Toro,"Strong and earthy at first, this thick, oily toro unfolds notes of cocoa powder, red meat, bright cedar and caramel, all before a nutty, almond paste finish. The draw is lush and the burn is dead-even. "
"Romeo y Julieta Línea de Oro HidalgosDec 01, 2022",93,"4 7/8""",57,Medium-Full,Robusto,"Puffing on this cigar is like chewing on a chocolate-covered almond, but plenty of rich notes like caramel and nougat lend it some opulence. Impressions of red stone fruits are also rendered clearly before the nutmeg and graham cracker finish."
"Cohiba EsplendidoDec 01, 2022",92,"7""",47,Medium,Churchill,"With its notes of cinnamon, nutmeg and vanilla, the smoke of this Churchill calls to mind autumn baking. Hints of orange peel and toast lead to a rum-barrel 
finish. The cigar draws and burns evenly."
"Montecristo Open MasterDec 01, 2022",92,"4 7/8""",50,Medium,Robusto,"Combustion is slow, even and cool on this nice looking robusto, which imparts the woody, salty qualities of driftwood. Sweetness gradually moves in with notes of orange peel, raisin and honeyed tea before the floral finish."
"Partagás Serie D No. 6Dec 01, 2022",91,"3 1/2""",50,Medium,Odd,"There’s an alluringly rich, reddish color to this short robusto, which draws and burns quite evenly. Its floral, oaky beginning develops a balanced palate of orange peel, cinnamon and earth. Hints of nuts and herbs resound on the finish."
"Sancho Panza BelicosoDec 01, 2022",90,"5 1/2""",52,Medium,Figurado,"Toasty and floral, this dark, slightly-pressed belicoso shows a vanilla-like quality with a floral undertone, a bit of salt and some star anise. An oaky note emerges as well."
"H. Upmann Magnum 46Dec 01, 2022",90,"5 5/8""",46,Medium-Full,Toro,"Dried fruit and wood are the core flavors of this corona gorda, which is packed solid with tobacco. The draw is a bit firm, but still imparts toasty notes of walnut and vanilla. It burns slow and cool."
"Trinidad VigíaDec 01, 2022",90,"4 3/8""",54,Medium,Odd,"Herbal and woody at first, this pigtailed robusto takes its time but unfolds layers of spicy cinnamon, almond and zesty orange peel. The draw and burn remain even throughout."
"San Cristobal de la Habana La PuntaDec 01, 2022",90,"5 1/2""",52,Medium,Figurado,A veiny torpedo that’s woody and tangy with an underlying nuttiness. Notes of leather come through before the woody finish. The cigar has an open draw and fairly even burn.
"Hoyo de Monterrey Petit RobustoDec 01, 2022",89,"4""",50,Medium,Odd,"Though raw and muddled at first with a touch of harshness, this petit robusto warms to show a nutty smoke with notes of baked apple, black pepper and wheat. The draw is a touch firm."
"Vegas Robaina UnicoDec 01, 2022",87,"6 1/8""",52,Mild-Medium,Figurado,"Heavily floral, this torpedo has a slightly firm draw, but also imparts some toast, dusty cedar and a bit of malted milk. It lacks overall intensity."
"Montecristo Petit EdmundoDec 01, 2022",87,"4 3/8""",52,Medium,Odd,"Eye-catching with a coppery tint to the wrapper, this short robusto offers upfront notes of licorice and orange peel with hints of honey and wood, but some bitterness affected the score."
"Cohiba Medio SigloNov 22, 2022",93,"4""",52,Medium,Odd,"Golden brown in color, this well-constructed short robusto is topped with a flat head and triple-seam cap. First puffs are a bit grassy but quickly reveal a richly layered smoke of almond, coffee bean, oak, vanilla and rum, culminating in a walnut finish. The draw and combustion are open and even."
"Sancho Panza BelicosoOct 25, 2022",90,"5 1/2""",52,Medium,Figurado,"Toasty and floral, this dark, slightly-pressed belicoso shows a vanilla-like quality with a floral undertone, a bit of salt and some star anise. An oaky note emerges as well."
"Cohiba 55 Aniversario Edición Limitada 2021Oct 11, 2022",93,"5 7/8""",57,Medium-Full,Toro,"With its round head and fantail cap, this thick toro gleams with oil. Strong and earthy at first, it gains complexity as it unfolds notes of cocoa powder, red meat, bright cedar and caramel, all before a nutty, almond paste finish. The draw is lush, the burn dead-even, forming a solid ash."
"Ramon Allones Specially SelectedOct 01, 2022",94,"4 7/8""",50,Medium-Full,Robusto,"Every puff of this cigar becomes more flavorful and complex, starting savory with notes of leather, rock salt and coffee. A nutty pecan note segues into the sweeter realm of graham cracker, cinnamon and gingerbread."
"H. Upmann Connossieur BOct 01, 2022",92,"5 7/8""",54,Medium,Toro,"A light-brown cigar topped with a flat head. The lush draw and even combustion produce a nutty smoke that layers the palate with baking spices, marzipan, cedar and nougat that all come together to leave a finish redolent of biscotti."
"San Cristobal de la Habana PradoOct 01, 2022",91,"5""",50,Mild-Medium,Figurado,"This short belicoso is floral and nutty, finessing the palate with a creamy smoke that also leaves toast-and-marmalade intonations and a light, woody finish. The burn is a touch uneven while the draw is a bit firm."
"El Rey del Mundo L’Epoque Exclusivo FranciaOct 01, 2022",91,"6 1/2""",54,Medium,Toro,"With its sweet notes of caramelized sugar and vanilla bean, the smoke of this tan toro calls to mind crème brûlée before the honeyed wood finish. It draws and burns quite evenly throughout. This cigar retails for 26.50 euros in France."
"Montecristo Línea 1935 LeyendaOct 01, 2022",90,"6 1/2""",55,Medium,Toro,"Enrobed in an attractive, oily wrapper, this thick cigar has a decent burn that forms a flaky ash. A bit of initial gumminess vanishes to reveal a nutty, toasty character accented by touches of spice, fruit and cedar that 
culminate in a nutty, nuanced finish."
"Romeo y Julieta Wide ChurchillOct 01, 2022",90,"5 1/8""",55,Mild-Medium,Robusto,"Bright, tangy notes of cedar are prominent on first puffs of this plump robusto. Additional notes of baking spices, warm bread and nuts settle in before the toasty finish. The burn is a touch uneven but the draw is full."
"Trinidad EsmeraldaOct 01, 2022",89,"5 3/4""",53,Medium,Toro,"Heavily herbal from first puff to last, this pigtailed toro smokes evenly revealing a touch of toffee sweetness. The draw and burn are even."
"Cohiba Pirámides ExtraOct 01, 2022",89,"6 1/4""",54,Medium,Figurado,"The smoke of this large torpedo is thin on account of the firm draw, but it manages to deliver a palate of sweet almond cookie and cedar along with peppery accents, wheaty notes and some Brazil nut."
"Partagás Serie P No. 2Oct 01, 2022",88,"6 1/8""",52,Medium-Full,Figurado,"There’s a sweet touch of caramel to this dark torpedo. Barnyard notes of straw, hay and earth underscore the oaky finish. A hearty cigar with an even draw and burn."
"Por Larrañaga PicadoresOct 01, 2022",87,"5""",48,Medium,Robusto,A softly pressed robusto with a notably firm draw and uneven burn. It’s woody and floral with fleeting wisps of cinnamon and fruit.
"Montecristo Petit No. 2Oct 01, 2022",87,"4 3/4""",52,Medium,Figurado,"Alluringly wrapped in a reddish-brown cover leaf with an even draw and burn. It tastes grassy and raw, evoking freshly split wood, faint notes of graham cracker and an ashy finish."
"Vegas Robaina FamosoOct 01, 2022",84,"5""",48,Full,Robusto,"Topped with a flat head and three-seam cap, this robusto has the woodsy, forest-floor qualities of earth, dried leaves and twigs, but becomes charry with a 
smoldering, scorched earth finish."
"Hoyo de Monterrey Le Hoyo de San JuanSep 27, 2022",91,"5 7/8""",54,Medium-Full,Toro,"Smoking this attractive, tawny-hued toro is like walking into a bakery as floral first puffs develop a smoke suggesting chocolate chip cookies with touches of cinnamon, graham cracker, vanilla and some wood before a long, rich chocolaty finish. It burns evenly though the draw is just a touch firm."
"Montecristo Línea 1935 LeyendaAug 09, 2022",90,"6 1/2""",55,Medium,Toro,"Enrobed in an attractive, oily wrapper and lumpy head, this thick cigar has a decent burn that forms a flaky ash. A bit of initial gumminess vanishes to reveal a nutty, toasty character accented by touches of spice, fruit and cedar that culminate in a nutty, nuanced finish."
"Montecristo Línea 1935 MaltésAug 09, 2022",90,"6""",53,Medium,Toro,"A good-looking toro with a tawny wrapper and flat head. First puffs are nutty with cashew notes before showing intonations of baking spice, orange peel and cedar, all leading to a walnut finish. The cigar draws and burns evenly."
"Montecristo Línea 1935 DumasAug 09, 2022",89,"5 1/8""",49,Medium-Full,Robusto,"Rolled with a coarse, slightly veiny cover leaf, this robusto has an even burn, forming a flaky ash. Salty, briny first puffs develop notes of cedar, leather and nuts. The bitter, herbaceous finish calls to mind a Fernet Branca. Some inconsistency was noted on the draw."
"H. Upmann No. 2Aug 01, 2022",96,"6 1/8""",52,Medium,Figurado,"Beautifully rolled, this pirámide shows richness and finesse with a combination of nutmeg and cinnamon that becomes more intense with each puff. Its hearty salted peanut flavor and a slight floral quality add superb balance."
"Romeo y Julieta ChurchillAug 01, 2022",95,"7""",47,Medium,Churchill,"A cigar of not only exceptional balance, but dimension, as it unfolds layer after layer of nougat, almond paste and honey all atop a rich, woody core. A floral 
undertone is pleasant and subtle."
"Trinidad TopesAug 01, 2022",93,"4 7/8""",56,Medium-Full,Robusto,"Plump and pigtailed, this robusto has a slightly firm draw, but shows an earthy, spicy smoke that unfolds rich notes of macadamia nut, vanilla and toasted almond. Balanced and elegant."
"Montecristo No. 5Aug 01, 2022",92,"4""",40,Medium-Full,Petit Corona,"Quaintly pressed with a superb draw that delivers dense smoke. Driven by a nutty, leathery character, this cigar’s additional notes of spice, coffee and black pepper provide balance and complexity."
